Size,CPU Time (s),GPU Time (s),Speedup
100,0.0,0.0019948482513427734,0.0
500,0.002993345260620117,0.028805255889892578,0.10391663493850255
1000,0.010440826416015625,0.17408156394958496,0.05997663497002675
1500,0.04254722595214844,0.10192036628723145,0.41745558323683873
2000,0.07163834571838379,0.1819465160369873,0.3937329896650545
